<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	120.401	120.741	119.808	120.419	29601	36046585000	0
2015.01.05	120.363	120.643	119.373	119.626	69509	91534578000	0
2015.01.06	119.592	119.639	118.053	118.290	74449	94640659000	0
2015.01.07	118.290	119.647	118.290	119.241	81499	83002975000	0
2015.01.08	119.240	119.956	119.152	119.619	78444	65627198000	0
2015.01.09	119.559	119.875	118.376	118.376	127639	194624494000	0
2015.01.12	118.317	119.317	118.101	118.339	242241	483837350000	0
2015.01.13	118.339	118.847	117.536	117.921	282649	550127825000	0
2015.01.14	117.921	117.957	116.068	117.317	302038	573409155000	0
2015.01.15	117.319	117.940	116.139	116.147	330141	494475304000	0
2015.01.16	116.147	117.756	115.850	117.614	227005	278673917000	0
2015.01.19	117.476	117.776	116.916	117.540	58274	0	6
2015.01.20	117.568	118.858	117.556	118.792	56341	0	6
2015.01.21	118.793	118.818	117.173	117.948	61288	0	6
2015.01.22	117.961	118.658	117.245	118.465	57786	0	6
2015.01.23	118.481	118.807	117.539	117.733	57981	0	7
2015.01.26	117.506	118.494	117.257	118.446	47259	0	6
2015.01.27	118.452	118.651	117.334	117.862	60004	0	2
2015.01.28	117.865	118.259	117.250	117.521	70361	0	2
2015.01.29	117.531	118.484	117.381	118.268	56016	14000000	2
2015.01.30	118.296	118.453	117.296	117.470	51983	0	6
2015.02.02	116.930	117.873	116.930	117.581	69637	0	2
2015.02.03	117.530	117.741	116.872	117.557	73829	0	2
2015.02.04	117.573	117.996	117.070	117.266	70108	0	1
2015.02.05	117.270	117.593	117.019	117.518	73039	0	7
2015.02.06	117.517	119.218	117.152	119.098	71495	0	7
2015.02.09	119.021	119.091	118.329	118.623	68747	0	6
2015.02.10	118.634	119.612	118.398	119.420	70378	0	7
2015.02.11	119.421	120.471	119.283	120.445	68687	0	6
2015.02.12	120.443	120.465	118.509	119.102	79269	0	6
2015.02.13	119.101	119.195	118.410	118.652	64922	0	7
2015.02.16	118.443	118.772	118.277	118.470	53838	0	7
2015.02.17	118.469	119.413	118.233	119.241	65930	0	7
2015.02.18	119.239	119.408	118.541	118.780	68652	0	7
2015.02.19	118.781	119.175	118.432	118.939	63728	0	7
2015.02.20	118.940	119.186	118.301	118.993	68226	0	1
2015.02.23	119.097	119.351	118.736	118.809	55689	0	7
2015.02.24	118.812	119.817	118.764	118.966	60863	0	7
2015.02.25	118.962	119.063	118.624	118.856	57624	0	7
2015.02.26	118.849	119.499	118.678	119.411	60093	0	7
2015.02.27	119.412	119.795	119.115	119.622	62144	0	6
2015.03.02	119.698	120.189	119.629	120.126	54384	0	7
2015.03.03	120.126	120.262	119.381	119.719	60058	0	7
2015.03.04	119.724	119.823	119.469	119.668	58382	0	6
2015.03.05	119.667	120.393	119.627	120.126	58980	0	7
2015.03.06	120.127	121.275	119.902	120.835	64189	0	7
2015.03.09	120.803	121.410	120.609	121.200	59867	0	2
2015.03.10	121.201	122.021	120.921	121.173	79950	0	6
2015.03.11	121.185	121.622	120.852	121.482	77275	0	7
2015.03.12	121.482	121.666	120.655	121.283	70532	0	7
2015.03.13	121.288	121.568	121.131	121.367	71800	0	6
2015.03.16	121.375	121.458	121.088	121.367	66841	0	1
2015.03.17	121.400	121.515	121.111	121.342	54347	0	1
2015.03.18	121.357	121.406	119.293	120.211	61890	0	1
2015.03.19	120.202	121.027	119.674	120.784	89680	0	2
2015.03.20	120.787	121.197	119.895	120.014	66641	0	7
2015.03.23	119.838	120.159	119.581	119.692	65839	0	6
2015.03.24	119.697	119.978	119.217	119.722	60668	0	10
2015.03.25	119.723	119.821	119.231	119.465	53775	0	10
2015.03.26	119.466	119.568	118.324	119.218	81618	0	7
2015.03.27	119.219	119.485	118.929	119.128	72636	0	7
2015.03.30	119.128	120.223	119.109	120.054	64538	0	7
2015.03.31	120.056	120.360	119.773	120.113	58680	0	10
2015.04.01	120.092	120.324	119.410	119.753	66268	0	7
2015.04.02	119.747	119.890	119.448	119.710	53043	0	5
2015.04.03	119.718	119.942	118.716	118.939	34564	0	7
2015.04.06	118.939	119.676	118.797	119.526	35726	0	2
2015.04.07	119.523	120.444	119.435	120.257	53086	0	4
2015.04.08	120.265	120.344	119.639	120.124	64876	0	4
2015.04.09	120.126	120.736	119.856	120.569	57723	0	4
2015.04.10	120.565	120.621	120.052	120.184	56370	0	4
2015.04.13	120.184	120.841	119.692	120.120	55857	0	4
2015.04.14	120.133	120.169	119.068	119.386	65771	0	4
2015.04.15	119.382	119.741	118.786	119.164	62590	0	4
2015.04.16	119.164	119.464	118.791	118.938	75045	0	7
2015.04.17	118.938	119.255	118.566	118.931	68037	0	4
2015.04.20	118.931	119.432	118.526	119.198	54551	0	4
