<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	1.20538	1.20690	1.19997	1.20014	53082	0	9
2015.01.05	1.19454	1.19757	1.18642	1.19317	95141	0	10
2015.01.06	1.19318	1.19682	1.18836	1.18887	91697	0	10
2015.01.07	1.18889	1.18956	1.18014	1.18386	98091	0	9
2015.01.08	1.18386	1.18467	1.17536	1.17899	82605	0	9
2015.01.09	1.17901	1.18450	1.17623	1.18402	91031	0	10
2015.01.12	1.18481	1.18702	1.17856	1.18325	80991	0	9
2015.01.13	1.18324	1.18589	1.17529	1.17718	93072	0	9
2015.01.14	1.17712	1.18451	1.17267	1.17881	101182	0	9
2015.01.15	1.17882	1.17921	1.15673	1.16298	123477	0	9
2015.01.16	1.16305	1.16479	1.14594	1.15650	121343	0	9
2015.01.19	1.15524	1.16381	1.15512	1.16060	49997	0	7
2015.01.20	1.16050	1.16138	1.15397	1.15479	36580	0	6
2015.01.21	1.15480	1.16790	1.15406	1.16087	45779	0	6
2015.01.22	1.16088	1.16485	1.13156	1.13642	56260	0	7
2015.01.23	1.13630	1.13731	1.11145	1.12032	62443	0	8
2015.01.26	1.11492	1.12945	1.10970	1.12373	51017	0	8
2015.01.27	1.12377	1.14221	1.12230	1.13803	65402	26218873000	1
2015.01.28	1.13803	1.13828	1.12757	1.12865	71647	0	1
2015.01.29	1.12867	1.13670	1.12612	1.13185	45808	14000000	2
2015.01.30	1.13154	1.13628	1.12770	1.12844	44897	0	9
2015.02.02	1.13115	1.13616	1.12918	1.13413	62989	0	1
2015.02.03	1.13399	1.15332	1.13122	1.14781	76916	0	1
2015.02.04	1.14779	1.14842	1.13155	1.13433	68437	0	2
2015.02.05	1.13428	1.14983	1.13035	1.14763	75428	0	5
2015.02.06	1.14760	1.14850	1.13090	1.13102	66082	0	5
2015.02.09	1.12952	1.13586	1.12698	1.13234	65433	0	5
2015.02.10	1.13233	1.13448	1.12726	1.13197	68796	0	5
2015.02.11	1.13200	1.13466	1.12794	1.13351	64393	0	5
2015.02.12	1.13348	1.14224	1.13016	1.14022	71197	0	5
2015.02.13	1.14020	1.14421	1.13792	1.13919	60539	0	5
2015.02.16	1.13994	1.14285	1.13191	1.13528	51186	0	5
2015.02.17	1.13533	1.14478	1.13217	1.14100	69407	0	5
2015.02.18	1.14097	1.14152	1.13335	1.13962	64941	0	5
2015.02.19	1.13960	1.14496	1.13550	1.13674	59622	0	5
2015.02.20	1.13675	1.14231	1.12788	1.13785	69731	0	1
2015.02.23	1.13940	1.13952	1.12947	1.13340	55201	0	5
2015.02.24	1.13335	1.13577	1.12900	1.13397	59038	0	5
2015.02.25	1.13395	1.13880	1.13353	1.13606	56284	0	5
2015.02.26	1.13593	1.13791	1.11834	1.11975	61722	0	5
2015.02.27	1.11975	1.12446	1.11758	1.11957	64231	0	5
2015.03.02	1.11805	1.12402	1.11597	1.11824	54008	0	5
2015.03.03	1.11835	1.12171	1.11545	1.11752	56803	0	6
2015.03.04	1.11742	1.11852	1.10615	1.10767	58992	0	5
2015.03.05	1.10772	1.11118	1.09879	1.10291	65263	0	7
2015.03.06	1.10284	1.10322	1.08387	1.08433	65790	0	5
2015.03.09	1.08296	1.09061	1.08227	1.08518	59301	0	2
2015.03.10	1.08509	1.08547	1.06676	1.06785	80767	0	5
2015.03.11	1.06791	1.07163	1.05108	1.05444	88719	0	7
2015.03.12	1.05457	1.06833	1.04943	1.06241	89899	0	5
2015.03.13	1.06238	1.06343	1.04619	1.04910	83236	0	5
2015.03.16	1.04855	1.06193	1.04791	1.05669	83506	0	1
2015.03.17	1.05664	1.06505	1.05510	1.05972	72379	0	1
2015.03.18	1.05961	1.10415	1.05797	1.08284	87748	0	1
2015.03.19	1.08291	1.09191	1.06125	1.06561	108495	0	1
2015.03.20	1.06562	1.08813	1.06550	1.08189	82998	0	5
2015.03.23	1.08667	1.09707	1.07667	1.09441	91164	0	5
2015.03.24	1.09457	1.10286	1.08897	1.09176	80441	0	9
2015.03.25	1.09184	1.10139	1.09002	1.09708	69803	0	9
2015.03.26	1.09711	1.10515	1.08555	1.08740	90096	0	5
2015.03.27	1.08743	1.09473	1.08007	1.08841	83003	0	5
2015.03.30	1.08841	1.08913	1.08095	1.08320	75521	0	5
2015.03.31	1.08317	1.08447	1.07123	1.07308	70009	0	11
2015.04.01	1.07331	1.07992	1.07180	1.07624	72023	0	10
2015.04.02	1.07622	1.09048	1.07497	1.08792	67761	0	1
2015.04.03	1.08793	1.10261	1.08632	1.09679	42177	0	8
2015.04.06	1.10007	1.10348	1.09090	1.09213	42818	0	1
2015.04.07	1.09211	1.09540	1.08029	1.08137	70632	0	4
2015.04.08	1.08137	1.08870	1.07627	1.07795	75544	0	4
2015.04.09	1.07796	1.07884	1.06372	1.06584	70600	0	4
2015.04.10	1.06585	1.06833	1.05674	1.06030	69708	0	4
2015.04.13	1.06030	1.06190	1.05202	1.05659	70464	0	2
