<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.05.06	1.08397	1.08454	1.07818	1.07929	54033	0	0
2020.05.07	1.07925	1.08339	1.07664	1.08319	60714	0	0
2020.05.08	1.08315	1.08755	1.08150	1.08386	48534	0	0
2020.05.11	1.08240	1.08503	1.08005	1.08060	49534	0	0
2020.05.12	1.08038	1.08852	1.07843	1.08469	54306	0	0
2020.05.13	1.08464	1.08963	1.08115	1.08173	58528	0	0
2020.05.14	1.08167	1.08238	1.07748	1.08042	53197	0	0
2020.05.15	1.08031	1.08505	1.07888	1.08187	50568	0	0
2020.05.18	1.08014	1.09269	1.07998	1.09139	48887	0	0
2020.05.19	1.09145	1.09759	1.09021	1.09217	51091	0	0
2020.05.20	1.09208	1.09989	1.09165	1.09767	46569	0	0
2020.05.21	1.09761	1.10082	1.09372	1.09476	46263	0	0
2020.05.22	1.09458	1.09536	1.08852	1.09022	42958	0	0
2020.05.25	1.08953	1.09144	1.08706	1.08956	26566	0	0
2020.05.26	1.08922	1.09958	1.08919	1.09818	46804	0	0
2020.05.27	1.09814	1.10306	1.09339	1.10026	71978	0	0
2020.05.28	1.09962	1.10934	1.09917	1.10757	64330	0	0
2020.05.29	1.10756	1.11450	1.10669	1.11076	76623	0	0
2020.06.01	1.11150	1.11536	1.11003	1.11343	61548	0	0
2020.06.02	1.11342	1.11957	1.11151	1.11685	69172	0	0
2020.06.03	1.11678	1.12576	1.11665	1.12333	77798	0	0
2020.06.04	1.12321	1.13621	1.11947	1.13365	81076	0	0
2020.06.05	1.13367	1.13837	1.12782	1.12874	79259	0	0
2020.06.08	1.12932	1.13195	1.12682	1.12932	63468	0	0
2020.06.09	1.12933	1.13635	1.12409	1.13389	71617	0	0
2020.06.10	1.13388	1.14222	1.13215	1.13723	78384	0	0
2020.06.11	1.13723	1.14035	1.12886	1.12981	101175	0	0
2020.06.12	1.12933	1.13402	1.12125	1.12604	94092	0	0
2020.06.15	1.12356	1.13323	1.12263	1.13222	90036	0	0
2020.06.16	1.13220	1.13531	1.12276	1.12633	81131	0	0
2020.06.17	1.12628	1.12939	1.12070	1.12426	76433	0	0
2020.06.18	1.12428	1.12612	1.11854	1.12049	72169	0	0
2020.06.19	1.12047	1.12542	1.11681	1.11765	67711	0	0
2020.06.22	1.11819	1.12697	1.11684	1.12593	56787	0	0
2020.06.23	1.12592	1.13483	1.12330	1.13074	72602	0	0
2020.06.24	1.13073	1.13257	1.12483	1.12503	60143	0	0
2020.06.25	1.12503	1.12595	1.11902	1.12170	54121	0	1
2020.06.26	1.12181	1.12391	1.11951	1.12179	40896	0	1
2020.06.29	1.12146	1.12876	1.12146	1.12410	42408	0	1
2020.06.30	1.12412	1.12616	1.11909	1.12336	48612	0	1
2020.07.01	1.12340	1.12749	1.11847	1.12507	45694	0	1
2020.07.02	1.12507	1.13025	1.12231	1.12388	45520	0	1
2020.07.03	1.12391	1.12524	1.12192	1.12482	39847	0	1
2020.07.06	1.12430	1.13455	1.12406	1.13085	43681	0	1
2020.07.07	1.13084	1.13323	1.12587	1.12727	46610	0	0
2020.07.08	1.12674	1.13515	1.12621	1.13292	46420	0	1
2020.07.09	1.13287	1.13706	1.12801	1.12846	53652	0	1
2020.07.10	1.12845	1.13247	1.12548	1.12965	43778	0	1
2020.07.13	1.13015	1.13748	1.13008	1.13435	45838	0	1
2020.07.14	1.13431	1.14085	1.13250	1.13993	53978	0	1
2020.07.15	1.13990	1.14518	1.13910	1.14114	46644	0	1
2020.07.16	1.14113	1.14419	1.13703	1.13834	47684	0	1
2020.07.17	1.13832	1.14437	1.13745	1.14258	36614	0	1
2020.07.20	1.14042	1.14676	1.14021	1.14472	46665	0	1
2020.07.21	1.14470	1.15396	1.14227	1.15265	50733	0	1
2020.07.22	1.15268	1.16009	1.15066	1.15695	57633	0	0
2020.07.23	1.15693	1.16266	1.15402	1.15959	54824	0	1
2020.07.24	1.15957	1.16576	1.15813	1.16549	53672	0	1
2020.07.27	1.16431	1.17811	1.16412	1.17510	59628	0	0
2020.07.28	1.17512	1.17735	1.16986	1.17150	59214	0	1
2020.07.29	1.17148	1.18059	1.17126	1.17906	57617	0	1
2020.07.30	1.17910	1.18480	1.17307	1.18467	62399	0	1
2020.07.31	1.18465	1.19086	1.17613	1.17713	75364	0	1
2020.08.03	1.17697	1.17966	1.16957	1.17617	57376	0	0
2020.08.04	1.17633	1.18060	1.17212	1.18028	55353	0	1
2020.08.05	1.18026	1.19047	1.17929	1.18629	54459	0	0
2020.08.06	1.18627	1.19160	1.18178	1.18762	64120	0	0
2020.08.07	1.18763	1.18827	1.17550	1.17854	61612	0	1
2020.08.10	1.17864	1.18006	1.17359	1.17371	42261	0	1
2020.08.11	1.17373	1.18074	1.17220	1.17395	59065	0	1
2020.08.12	1.17402	1.18165	1.17109	1.17835	58997	0	0
2020.08.13	1.17835	1.18640	1.17796	1.18131	52645	0	1
2020.08.14	1.18126	1.18503	1.17814	1.18413	42080	0	1
2020.08.17	1.18377	1.18810	1.18285	1.18698	39587	0	0
2020.08.18	1.18695	1.19656	1.18655	1.19306	50881	0	1
2020.08.19	1.19302	1.19526	1.18301	1.18385	55642	0	1
2020.08.20	1.18355	1.18685	1.18020	1.18599	57789	0	0
2020.08.21	1.18599	1.18827	1.17542	1.17964	52733	0	1
2020.08.24	1.17929	1.18496	1.17841	1.17873	42510	0	1
2020.08.25	1.17871	1.18436	1.17840	1.18343	47918	0	1
2020.08.26	1.18340	1.18391	1.17721	1.18298	44133	0	1
2020.08.27	1.18297	1.19013	1.17621	1.18217	66444	0	1
2020.08.28	1.18215	1.19196	1.18110	1.19055	62437	0	1
2020.08.31	1.19036	1.19660	1.18839	1.19361	50159	0	1
2020.09.01	1.19358	1.20108	1.19011	1.19113	58939	0	0
2020.09.02	1.19112	1.19285	1.18220	1.18547	53643	0	1
2020.09.03	1.18521	1.18645	1.17887	1.18512	57467	0	1
2020.09.04	1.18513	1.18652	1.17808	1.18394	58184	0	1
2020.09.07	1.18458	1.18485	1.18111	1.18136	31385	0	1
2020.09.08	1.18136	1.18273	1.17654	1.17739	56953	0	1
2020.09.09	1.17747	1.18337	1.17528	1.18027	50318	0	1
2020.09.10	1.18026	1.19174	1.17994	1.18146	60593	0	1
2020.09.11	1.18145	1.18739	1.18086	1.18459	46151	0	1
2020.09.14	1.18362	1.18880	1.18321	1.18643	37436	0	1
2020.09.15	1.18648	1.19004	1.18393	1.18462	38904	0	1
2020.09.16	1.18465	1.18826	1.17873	1.18155	53041	0	1
2020.09.17	1.18146	1.18523	1.17374	1.18476	58356	0	1
2020.09.18	1.18476	1.18703	1.18258	1.18413	45923	0	1
2020.09.21	1.18455	1.18717	1.17316	1.17707	54501	0	1
2020.09.22	1.17700	1.17735	1.16916	1.17077	54507	0	0
2020.09.23	1.17074	1.17189	1.16511	1.16595	53403	0	0
2020.09.24	1.16590	1.16868	1.16264	1.16708	53594	0	0
2020.09.25	1.16706	1.16849	1.16122	1.16296	46422	0	0
2020.09.28	1.16222	1.16799	1.16151	1.16650	39261	0	0
2020.09.29	1.16650	1.17455	1.16609	1.17426	42496	0	0
2020.09.30	1.17430	1.17547	1.16846	1.17210	57876	0	0
2020.10.01	1.17210	1.17694	1.17171	1.17465	57598	0	0
2020.10.02	1.17489	1.17489	1.16957	1.17165	65348	0	0
2020.10.05	1.17131	1.17974	1.17053	1.17825	41921	0	0
2020.10.06	1.17826	1.18076	1.17316	1.17334	50635	0	0
