<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	112.503	112.784	112.055	112.268	89903	0	2
2018.01.03	112.268	112.607	112.170	112.504	98828	0	2
2018.01.04	112.503	112.863	112.464	112.728	105928	0	2
2018.01.05	112.732	113.303	112.719	113.062	122487	0	2
2018.01.08	113.137	113.386	112.880	113.079	85465	0	1
2018.01.09	113.080	113.178	112.365	112.631	142865	0	1
2018.01.10	112.631	112.783	111.269	111.425	160675	0	1
2018.01.11	111.428	111.874	111.043	111.241	160778	0	1
2018.01.12	111.241	111.694	110.912	111.053	162108	0	1
2018.01.15	111.070	111.184	110.327	110.517	152007	0	1
2018.01.16	110.517	110.982	110.245	110.434	160408	0	1
2018.01.17	110.434	111.343	110.190	111.286	184193	0	1
2018.01.18	111.260	111.481	110.693	111.088	182419	0	1
2018.01.19	111.088	111.127	110.490	110.827	153998	0	1
2018.01.22	110.552	111.223	110.496	110.917	132707	0	1
2018.01.23	110.910	111.176	110.250	110.302	156176	0	1
2018.01.24	110.304	110.335	108.967	109.219	193818	0	1
2018.01.25	109.219	109.700	108.499	109.403	260329	0	1
2018.01.26	109.399	109.769	108.282	108.583	237498	0	1
2018.01.29	108.693	109.201	108.507	108.949	195894	0	1
2018.01.30	108.949	109.205	108.412	108.775	196490	0	1
2018.01.31	108.775	109.444	108.594	109.185	201322	0	1
2018.02.01	109.184	109.750	109.093	109.385	187683	0	1
2018.02.02	109.388	110.482	109.278	110.171	226293	0	1
2018.02.05	110.171	110.289	108.989	109.060	264052	0	1
2018.02.06	109.076	109.653	108.453	109.555	427330	0	1
2018.02.07	109.555	109.711	108.918	109.298	243098	0	1
2018.02.08	109.298	109.783	108.580	108.738	307790	0	1
2018.02.09	108.738	109.309	108.044	108.796	376477	0	1
2018.02.12	108.852	108.888	108.436	108.637	200465	0	1
2018.02.13	108.637	108.777	107.407	107.808	202500	0	1
2018.02.14	107.808	107.901	106.721	106.987	263736	0	1
2018.02.15	106.987	107.005	106.034	106.114	243911	0	1
2018.02.16	106.114	106.397	105.545	106.254	207370	0	1
2018.02.19	106.320	106.725	106.092	106.584	134658	0	1
2018.02.20	106.584	107.375	106.556	107.322	142734	0	1
2018.02.21	107.321	107.904	107.278	107.768	187097	0	1
2018.02.22	107.769	107.770	106.593	106.744	172388	0	1
2018.02.23	106.746	107.133	106.511	106.880	130642	0	1
2018.02.26	107.092	107.141	106.374	106.903	155079	0	1
2018.02.27	106.903	107.673	106.783	107.326	151964	0	1
2018.02.28	107.323	107.525	106.564	106.662	158660	0	1
2018.03.01	106.662	107.203	106.162	106.222	221251	0	1
2018.03.02	106.222	106.298	105.248	105.730	202116	0	1
2018.03.05	105.489	106.236	105.350	106.192	176697	0	1
2018.03.06	106.192	106.463	105.852	106.108	154568	0	1
2018.03.07	106.114	106.220	105.453	106.055	188177	0	1
2018.03.08	106.055	106.312	105.891	106.178	140168	0	1
2018.03.09	106.178	107.046	106.151	106.806	153938	0	1
2018.03.12	106.753	106.971	106.314	106.438	124765	0	0
2018.03.13	106.438	107.292	106.253	106.459	155452	0	1
2018.03.14	106.457	106.746	106.063	106.313	149847	0	1
2018.03.15	106.313	106.412	105.783	106.336	154414	0	1
2018.03.16	106.339	106.363	105.601	105.983	124553	0	1
2018.03.19	105.960	106.306	105.676	106.026	141276	0	1
2018.03.20	106.026	106.605	105.927	106.527	135255	0	1
2018.03.21	106.527	106.637	105.878	106.063	135779	0	1
2018.03.22	106.063	106.070	105.259	105.311	219551	0	1
2018.03.23	105.311	105.324	104.638	104.734	261700	0	1
2018.03.26	104.651	105.479	104.628	105.403	163046	0	1
2018.03.27	105.398	105.903	105.318	105.327	155207	0	1
2018.03.28	105.328	107.010	105.323	106.845	195795	0	1
2018.03.29	106.842	106.932	106.264	106.419	138533	0	1
2018.03.30	106.420	106.532	106.118	106.279	98888	0	1
2018.04.02	106.165	106.448	105.656	105.879	118942	0	1
2018.04.03	105.879	106.656	105.690	106.603	130439	0	1
2018.04.04	106.603	106.846	105.989	106.772	100269	0	1
2018.04.05	106.770	107.491	106.710	107.380	75912	0	1
2018.04.06	107.385	107.458	106.775	106.944	120921	0	1
2018.04.09	106.935	107.202	106.616	106.745	73969	0	1
2018.04.10	106.754	107.397	106.618	107.197	95793	0	1
2018.04.11	107.197	107.250	106.650	106.785	82648	0	1
2018.04.12	106.779	107.430	106.699	107.301	73686	0	1
2018.04.13	107.292	107.777	107.202	107.372	68247	0	1
2018.04.16	107.451	107.605	107.035	107.113	57868	0	1
2018.04.17	107.106	107.212	106.880	106.999	55398	0	1
2018.04.18	106.996	107.385	106.985	107.229	53522	0	1
